instP,clock,pipelines,instM,latency,transfM,band,y
9435478602.590433,4105869603.47941,16.455470443791892,1430552.8965856156,5.609011656647861e-08,317976184.4341016,5764397527.688107,0.0005909027048973592
1602027957.3804078,1410649360.7029114,17.35453628382672,4040228.1223966256,1.2793516735349972e-09,610445590.4293379,8864496001.830772,0.00026795798161313576
7369002255.488235,1105227055.8500617,14.225724833798225,8929465.934302498,2.9733498965675293e-08,526174216.24928355,2097244967.0908406,0.0015919844977456275
9534876090.915901,4750094583.029091,11.536555484028579,5320211.729068827,6.615971910686592e-09,279250405.74913275,1145611138.4343474,0.001392306382028017
7183304277.683187,207532593.30061048,18.414039566870038,7504645.727419742,4.936180874364924e-08,902920336.7962065,7843418690.279293,0.0028274257571063717
6906617879.246039,1459120422.1544192,5.720844762818832,7806539.806781376,3.237544131007454e-08,59093593.85562138,6710791421.059306,0.0014204247493188802
1047160343.2687843,284136391.1124186,9.9551365979094,1062505.413960497,4.12648853074252e-08,775062454.0760696,2587376664.150172,0.0014834266784706537
9047767632.23147,1398724225.0674682,9.254388458899653,1406250.6399363065,1.0813416956083517e-08,549422347.1910866,2888095021.32592,0.0011618952373213115
3434620957.266009,1898735512.2996309,8.066632545807014,9060583.137065593,5.02600331784991e-08,434145266.5598956,6457342871.024976,0.0013775763483016127
9428583282.333761,891528378.3114015,18.509415835965445,4039499.8160814852,5.65286222417982e-08,30864316.319379684,4707809866.182402,0.001002262574442021
7294769077.929124,2300998498.208115,9.732193818111526,5668506.737948099,5.386543552817898e-08,228289011.72045714,2616352797.699007,0.0014541778543942
8831661525.700302,2718132404.3126163,9.296776254205506,2035804.7320528585,8.348354528969616e-08,322587639.98635,3404522869.729732,0.0016072915124024326
5075429928.238473,3904345533.629864,19.381309311405815,4448901.274525852,9.503079287428869e-08,852181237.7201916,5400933161.083072,0.0006601148950349545
9414785374.224373,1058245671.2730254,5.84557098814571,5409177.473210343,6.52311311349521e-08,701976490.8245236,9569799935.745018,0.0022537641459217887
8992207303.87051,4982630284.69153,8.105908748751027,5363182.867697722,3.7100165322563074e-08,513560386.4227215,1593874511.1131606,0.0007495040904494608
300273821.09933305,891540036.6151989,14.215334344909147,8851337.711780312,1.5286448464368465e-08,310631758.62514895,4142132451.656417,0.0006125367982562672
1633379676.5302355,3947834315.3823695,8.174782870428801,7932730.32963808,4.9435348543738465e-08,186499068.74133423,6525123228.596167,0.0008947890249521285
9498955611.047184,205291333.0979668,18.522397178780647,5258254.783787213,6.680247704837812e-08,688531258.2902749,2827891557.635418,0.003653051407990638
7828608672.253008,1094108368.0341444,4.341174968529794,6425525.661238766,2.1680942576455302e-08,31872367.021832906,4795962372.639189,0.002613280579229182
5047157532.899683,1226368910.1468933,17.72121448958048,2478492.5768577782,8.71275754792137e-08,667587858.0715685,5039748424.75461,0.001178844390489114
4893985720.749959,3341393351.094473,4.921127742806967,8908368.431160752,4.356189803753161e-08,84456848.99132925,2653987360.5617123,0.001481060201263475
9078232219.567928,1528292215.004789,7.072009940532528,9007224.922458649,8.58752292536903e-08,69083600.34708549,3388986479.517399,0.001927338949623629
8134276579.2504225,3705552236.081687,6.170850068448107,9583802.128091734,8.562688900824568e-08,547405598.0767409,5969521341.876404,0.002253970712588999
1612593774.8742247,4503979066.798677,4.3172784167103515,1762016.964350135,8.877000899795508e-08,503367272.509552,2829263387.157711,0.0007677466393458002
6828097624.7668295,921031487.4556463,15.869569147528841,2426350.618152201,7.099030808618251e-08,927311872.1303487,6720456319.632046,0.0011380261293933362
393997793.03304493,3404227870.834265,18.965859985940064,9706390.141143836,4.794903942319611e-09,945664837.3534173,5904057784.257662,0.0008674640874523651
3302267999.272987,406049430.40618706,11.734828959910653,6342976.319258912,7.870687416591374e-08,26331110.945418987,1557633040.3617134,0.0020792397418974385
3664022309.974824,2100319330.6670568,17.88360252001166,8593147.03959182,9.068246056192541e-08,939880596.4307483,2879709692.71477,0.001737086939392799
2463094273.4124255,235825368.61736688,16.390746095128645,6471905.467616941,6.982925750163742e-08,401333143.127238,5178109696.693237,0.00164043932947239
1323555782.6564445,1703448955.4302194,5.578581666808615,3573716.32746729,3.5028631029860163e-09,765336568.3109579,5344181699.737757,0.0011767836545979356
7315230093.091351,3208194916.2643538,6.130503136026175,8722116.876400437,3.697134273317034e-08,333158054.83155364,2422293460.51688,0.0014854524901067928
7219823485.793854,200047830.6853937,2.1277239616209176,3201346.525120417,3.781136457356738e-08,70440103.5949325,8245813913.484127,0.017267449124448914
4736465393.531843,4749841550.143236,9.470704556762538,2607032.4910047143,9.495244877653924e-08,407975836.65646183,1920696546.4220889,0.0014348246506201436
6359053567.412814,4432667164.43101,4.667155824710934,8468720.015326852,1.564629926215688e-08,964171012.363386,4866470580.880893,0.0012840498210938225
8253364846.796964,3581471598.6206236,9.839086122465098,4822165.05434109,4.68882328736761e-08,16028257.950791962,4591933453.678155,0.0006130192459768488
5064998633.307313,1771555470.5174565,9.370311473993345,9813794.18677873,5.74058666157423e-08,722612823.729076,1383589324.6791606,0.0015294212139942088
1005178314.1600778,4655337263.633725,10.540471027146534,8007884.299094102,3.925523213645113e-08,131009905.18089743,7913811258.626587,0.0010359412076284078
4745511525.698627,2645005900.482521,7.156421599956232,6831656.62016038,2.5836198324012235e-08,932332176.3269945,9179599578.395195,0.0008503214240332197
4859577125.545538,3306941740.927184,11.070433804014467,4445656.09370308,5.460935312647049e-08,712035745.3151362,6112738755.988819,0.0014748767057636259
7699949154.327992,160085933.96619326,5.577010803895636,6712904.24686839,3.963063049928055e-08,272918129.2501388,8361052172.895232,0.009416851461056997
7711013598.588848,2861860388.5075564,8.723568759229417,9485342.523294216,2.521195140797149e-08,100375882.17559241,7696740066.789729,0.000654366614950266
